sample_id,time_ms,fsr1,fsr2,fsr3
974,2002,313,188,206
975,2004,295,188,202
976,2006,310,188,206
977,2008,321,188,205
978,2010,333,188,205
979,2012,326,188,206
980,2014,327,188,206
981,2016,347,188,208
982,2018,339,188,206
983,2020,329,189,207
984,2022,327,189,207
985,2024,298,189,206
986,2026,311,189,205
987,2028,327,189,208
988,2030,318,190,208
989,2032,324,189,208
990,2034,327,190,209
991,2036,348,192,210
992,2038,331,189,212
993,2040,329,190,210
994,2042,312,190,210
995,2044,295,189,210
996,2046,296,189,209
997,2048,319,190,210
998,2050,306,191,210
999,2052,318,190,210
1000,2054,307,190,208
1001,2056,337,190,209
1002,2058,338,192,208
1003,2060,317,190,206
1004,2062,297,190,204
1005,2064,289,190,207
1006,2066,305,191,206
1007,2068,310,190,204
1008,2070,301,190,206
1009,2072,312,191,206
1010,2074,315,190,206
1011,2076,343,191,207
1012,2078,336,191,207
1013,2080,321,191,207
1014,2082,308,191,208
1015,2084,287,190,206
1016,2086,295,191,206
1017,2088,314,190,207
1018,2090,309,190,207
1019,2092,312,191,207
1020,2094,315,191,208
1021,2096,340,191,208
1022,2098,326,191,209
1023,2100,316,189,208
1024,2102,304,190,208
1025,2104,290,191,207
1026,2106,310,191,208
1027,2108,306,191,209
1028,2110,306,191,211
1029,2112,315,190,213
1030,2114,318,190,212
1031,2116,343,189,210
1032,2118,336,191,208
1033,2120,322,190,208
1034,2122,310,189,209
1035,2124,286,188,210
1036,2126,314,190,209
1037,2128,309,189,208
1038,2130,314,189,207
1039,2132,321,210,227
1040,2134,340,210,224
1041,2136,363,210,227
1042,2138,354,210,229
1043,2140,336,210,227
1044,2142,325,209,230
1045,2144,312,210,227
1046,2146,325,210,230
1047,2148,327,211,232
1048,2150,326,210,230
1049,2152,324,210,230
1050,2154,328,211,232
1051,2156,345,210,233
1052,2158,337,210,231
1053,2160,321,211,230
1054,2162,289,210,231
1055,2164,284,211,231
1056,2166,299,209,231
1057,2168,308,210,231
1058,2170,306,211,230
1059,2172,306,211,231
1060,2174,318,212,230
1061,2176,336,211,232
1062,2178,353,212,231
1063,2180,319,211,230
1064,2182,305,211,230
1065,2184,292,211,230
1066,2186,304,212,231
1067,2188,322,211,232
1068,2190,323,210,230
1069,2192,326,211,230
1070,2194,328,211,228
1071,2196,355,211,228
1072,2198,340,211,228
1073,2200,325,211,228
1074,2202,312,210,227
1075,2204,300,212,228
1076,2206,300,210,228
1077,2208,324,211,226
1078,2210,313,212,228
1079,2212,323,211,230
1080,2214,319,212,232
1081,2216,335,211,230
1082,2218,346,211,230
1083,2220,326,212,231
1084,2222,315,210,230
1085,2224,296,211,232
1086,2226,325,211,230
1087,2228,329,210,229
1088,2230,326,211,232
1089,2232,321,212,231
1090,2234,325,211,229
1091,2236,355,211,229
1092,2238,354,209,228
1093,2240,331,211,230
1094,2242,309,211,229
1095,2244,291,211,231
1096,2246,326,212,230
1097,2248,316,211,227
1098,2250,325,211,231
1099,2252,342,211,229
1100,2254,332,212,230
