# sample_id,timestamp,fsr1,fsr2,fsr3
0,0,417,380,451
1,2,421,379,450
2,4,422,382,450
3,6,418,377,449
4,8,418,381,452
5,10,421,379,452
6,12,420,379,453
7,14,421,378,450
8,16,423,381,448
9,18,421,383,447
10,20,421,383,448
11,22,420,382,453
12,24,418,381,450
13,26,420,384,450
14,28,420,379,452
15,30,423,380,448
16,32,418,382,448
17,34,418,378,452
18,36,423,378,455
19,38,422,376,448
20,40,420,377,450
21,42,419,379,450
22,44,421,380,448
23,46,420,379,448
24,48,418,382,451
25,50,421,381,453
26,52,418,380,450
27,54,421,381,452
28,56,423,383,447
29,58,423,384,451
30,60,418,381,449
31,62,418,381,449
32,64,417,380,453
33,66,419,381,452
34,68,420,380,449
35,70,418,378,452
36,72,418,377,448
37,74,421,382,454
38,76,419,382,448
39,78,422,382,449
40,80,423,381,455
41,82,422,383,451
42,84,420,377,450
43,86,418,381,454
44,88,422,376,449
45,90,417,380,449
46,92,421,381,450
47,94,420,381,454
48,96,422,380,448
49,98,419,380,444
50,100,416,380,447
51,102,420,378,449
52,104,419,378,449
53,106,426,383,450
54,108,419,381,450
55,110,421,379,449
56,112,418,381,449
57,114,417,378,448
58,116,419,380,452
59,118,417,380,448
60,120,421,379,449
61,122,419,378,450
62,124,417,379,451
63,126,420,379,449
64,128,420,380,446
65,130,418,380,451
66,132,421,382,449
67,134,420,381,452
68,136,422,381,449
69,138,419,378,448
70,140,420,381,447
71,142,424,379,452
72,144,424,378,446
73,146,418,378,449
74,148,421,379,447
75,150,423,382,452
76,152,422,383,451
77,154,421,382,447
78,156,419,378,450
79,158,421,383,447
80,160,422,381,450
81,162,419,379,447
82,164,419,382,448
83,166,423,383,449
84,168,417,382,449
85,170,422,379,451
86,172,419,380,447
87,174,425,379,451
88,176,422,379,449
89,178,419,379,449
90,180,424,381,449
91,182,422,379,450
92,184,421,379,452
93,186,421,383,453
94,188,421,379,446
95,190,417,379,452
96,192,419,380,452
97,194,421,379,452
98,196,420,380,451
99,198,419,381,449
100,200,419,375,447
101,202,421,381,446
102,204,420,379,454
103,206,417,380,450
104,208,420,382,452
105,210,420,381,450
106,212,421,383,448
107,214,420,380,448
108,216,419,380,451
109,218,419,379,449
110,220,420,381,446
111,222,419,380,451
112,224,421,382,451
113,226,418,378,452
114,228,420,376,452
115,230,420,380,452
116,232,422,382,450
117,234,421,380,449
118,236,420,382,449
119,238,417,382,449
120,240,417,378,451
121,242,418,381,452
122,244,422,381,451
123,246,419,379,447
124,248,423,382,448
125,250,423,379,449
126,252,419,380,449
127,254,419,377,449
128,256,424,383,447
129,258,421,382,449
130,260,419,378,450
131,262,419,377,450
132,264,419,384,450
133,266,420,380,450
134,268,422,378,450
135,270,419,377,450
136,272,419,380,447
137,274,418,378,450
138,276,417,382,447
139,278,421,378,450
140,280,421,380,446
141,282,419,383,451
142,284,420,377,450
143,286,420,382,448
144,288,418,381,449
145,290,420,375,450
146,292,422,381,453
147,294,415,380,450
148,296,417,379,451
149,298,421,381,453
150,300,417,378,447
151,302,422,378,449
152,304,421,384,448
153,306,418,379,449
154,308,419,379,448
155,310,422,378,453
156,312,423,377,451
157,314,416,383,448
158,316,422,382,447
159,318,420,382,449
160,320,421,383,451
161,322,422,380,448
162,324,420,382,449
163,326,423,381,452
164,328,419,377,449
165,330,422,378,450
166,332,420,382,451
167,334,419,379,450
168,336,421,378,452
169,338,422,378,450
170,340,422,380,448
171,342,420,380,452
172,344,418,380,447
173,346,421,380,449
174,348,418,379,450
175,350,422,377,453
176,352,421,379,450
177,354,420,381,450
178,356,418,381,449
179,358,419,381,451
180,360,419,379,450
181,362,417,383,453
182,364,424,379,452
183,366,421,382,451
184,368,419,383,453
185,370,419,381,451
186,372,422,379,447
187,374,420,381,452
188,376,419,375,449
189,378,420,381,450
190,380,421,377,451
191,382,417,380,447
192,384,420,377,450
193,386,420,381,450
194,388,418,380,454
195,390,418,379,450
196,392,417,378,453
197,394,420,377,450
198,396,420,383,457
199,398,423,379,449
200,400,420,380,450
201,402,425,384,447
202,404,422,380,451
203,406,419,377,450
204,408,423,382,451
205,410,423,381,447
206,412,423,379,447
207,414,421,380,456
208,416,419,375,453
209,418,418,381,449
210,420,424,381,449
211,422,422,377,450
212,424,419,383,449
213,426,418,380,447
214,428,416,379,451
215,430,421,379,451
216,432,419,379,450
217,434,418,381,453
218,436,422,379,449
219,438,423,382,451
220,440,422,380,450
221,442,422,383,451
222,444,423,381,449
223,446,421,382,450
224,448,418,380,450
225,450,419,379,446
226,452,420,383,451
227,454,420,379,451
228,456,422,381,450
229,458,421,379,449
230,460,416,381,448
231,462,420,381,453
232,464,420,381,451
233,466,422,380,450
234,468,418,381,450
235,470,423,381,451
236,472,417,381,449
237,474,423,380,450
238,476,422,380,448
239,478,424,381,447
240,480,421,381,451
241,482,423,378,447
242,484,423,381,452
243,486,421,380,451
244,488,419,378,452
245,490,418,378,449
246,492,423,378,449
247,494,419,375,450
248,496,419,384,451
249,498,416,380,447
250,500,421,380,450
251,502,423,377,450
252,504,419,379,451
253,506,420,382,449
254,508,420,377,449
255,510,417,376,450
256,512,418,380,450
257,514,419,380,448
258,516,421,379,452
259,518,420,381,451
260,520,418,382,452
261,522,420,379,452
262,524,419,379,450
263,526,423,379,452
264,528,417,376,450
265,530,416,380,453
266,532,419,376,449
267,534,420,380,449
268,536,424,380,452
269,538,423,380,451
270,540,419,383,450
271,542,420,379,453
272,544,418,377,449
273,546,418,379,450
274,548,419,381,452
275,550,420,377,448
276,552,420,381,452
277,554,417,378,451
278,556,425,380,453
279,558,421,378,447
280,560,419,380,454
281,562,417,379,451
282,564,420,379,453
283,566,421,378,451
284,568,417,377,449
285,570,419,378,451
286,572,415,382,452
287,574,413,381,449
288,576,422,380,450
289,578,418,381,448
290,580,418,382,451
291,582,416,379,455
292,584,420,375,445
293,586,421,384,450
294,588,420,382,450
295,590,417,376,452
296,592,422,382,451
297,594,413,378,450
298,596,420,380,449
299,598,418,382,452
300,600,419,378,450
301,602,421,380,451
302,604,418,382,452
303,606,419,380,449
304,608,421,381,450
305,610,420,379,452
306,612,420,382,447
307,614,423,380,451
308,616,419,382,451
309,618,420,379,457
310,620,422,379,449
311,622,420,377,449
312,624,419,381,452
313,626,425,384,449
314,628,419,378,450
315,630,425,380,450
316,632,421,380,445
317,634,418,386,447
318,636,419,381,449
319,638,420,380,449
320,640,416,381,450
321,642,419,379,453
322,644,421,380,449
323,646,420,380,452
324,648,420,378,450
325,650,420,381,450
326,652,419,381,452
327,654,419,379,448
328,656,415,382,448
329,658,426,380,448
330,660,423,379,447
331,662,417,377,447
332,664,422,380,448
333,666,420,382,450
334,668,419,376,454
335,670,420,381,449
336,672,420,381,452
337,674,423,379,455
338,676,420,378,450
339,678,418,378,446
340,680,422,379,453
341,682,422,378,448
342,684,421,380,450
343,686,419,378,448
344,688,417,381,447
345,690,422,381,452
346,692,420,379,449
347,694,417,378,450
348,696,421,381,449
349,698,421,378,451
350,700,418,381,450
351,702,419,378,453
352,704,420,382,452
353,706,420,382,448
354,708,419,379,450
355,710,418,383,448
356,712,422,379,449
357,714,420,381,452
358,716,421,379,449
359,718,421,379,452
360,720,421,380,450
361,722,419,378,451
362,724,422,378,453
363,726,420,380,449
364,728,418,381,447
365,730,426,382,452
366,732,421,378,450
367,734,421,381,451
368,736,421,381,453
369,738,420,378,447
370,740,423,381,450
371,742,419,379,450
372,744,421,383,451
373,746,418,380,452
374,748,418,382,452
375,750,421,378,447
376,752,422,380,451
377,754,417,378,452
378,756,421,379,448
379,758,420,379,451
380,760,421,381,450
381,762,421,381,452
382,764,418,380,448
383,766,419,378,449
384,768,422,380,449
385,770,421,378,450
386,772,422,383,452
387,774,418,380,450
388,776,422,377,448
389,778,419,381,450
390,780,422,378,448
391,782,421,383,448
392,784,421,380,454
393,786,422,379,452
394,788,416,378,447
395,790,421,379,449
396,792,418,379,446
397,794,423,379,451
398,796,417,376,446
399,798,420,382,450
400,800,417,383,451
401,802,419,379,452
