# sample_id,timestamp,fsr1,fsr2,fsr3
0,0,418,385,449
1,2,421,382,455
2,4,421,381,453
3,6,418,380,454
4,8,421,380,450
5,10,423,381,450
6,12,418,377,448
7,14,418,377,451
8,16,423,383,448
9,18,421,380,453
10,20,424,382,453
11,22,420,382,451
12,24,424,384,450
13,26,421,380,449
14,28,422,385,449
15,30,421,384,449
16,32,421,384,453
17,34,422,379,449
18,36,420,380,452
19,38,422,381,451
20,40,419,381,447
21,42,424,381,449
22,44,421,382,451
23,46,420,385,452
24,48,419,381,452
25,50,422,380,456
26,52,423,383,454
27,54,423,382,451
28,56,423,381,449
29,58,423,382,451
30,60,418,381,448
31,62,421,380,449
32,64,423,380,452
33,66,422,381,450
34,68,423,383,447
35,70,421,378,448
36,72,421,382,449
37,74,420,379,449
38,76,420,384,453
39,78,420,382,447
40,80,418,385,448
41,82,420,379,448
42,84,419,381,450
43,86,420,379,449
44,88,420,380,449
45,90,420,380,446
46,92,420,379,449
47,94,421,379,449
48,96,423,383,446
49,98,419,382,449
50,100,423,376,446
51,102,422,379,450
52,104,420,381,448
53,106,420,380,448
54,108,420,380,449
55,110,417,379,448
56,112,419,380,450
57,114,420,378,450
58,116,419,376,447
59,118,421,377,447
60,120,420,378,448
61,122,420,383,448
62,124,420,380,448
63,126,420,378,447
64,128,421,378,449
65,130,419,379,448
66,132,418,377,446
67,134,418,380,451
68,136,421,381,449
69,138,416,376,449
70,140,418,377,450
71,142,417,380,449
72,144,419,376,444
73,146,419,375,452
74,148,420,377,451
75,150,418,379,449
76,152,415,376,447
77,154,418,381,450
78,156,422,376,448
79,158,419,378,447
80,160,421,377,449
81,162,414,378,449
82,164,419,381,445
83,166,419,380,451
84,168,415,380,447
85,170,419,377,449
86,172,418,380,452
87,174,417,379,448
88,176,415,380,447
89,178,420,375,453
90,180,418,376,451
91,182,417,383,452
92,184,423,381,452
93,186,419,383,451
94,188,421,379,452
95,190,419,377,453
96,192,419,383,450
97,194,418,380,451
98,196,422,381,453
99,198,420,380,455
100,200,421,383,457
101,202,421,383,450
102,204,420,381,449
103,206,421,385,452
104,208,424,379,447
105,210,419,381,450
106,212,421,378,454
107,214,422,379,451
108,216,419,385,454
109,218,424,380,454
110,220,423,381,449
111,222,420,380,450
112,224,421,380,453
113,226,420,381,451
114,228,418,380,454
115,230,421,383,452
116,232,422,383,454
117,234,421,380,450
118,236,421,384,451
119,238,424,382,449
120,240,422,381,450
121,242,416,380,451
122,244,423,381,449
123,246,421,382,449
124,248,420,381,450
125,250,425,384,451
126,252,423,379,447
127,254,422,379,447
128,256,421,381,452
129,258,426,383,450
130,260,428,381,453
131,262,422,375,449
132,264,426,384,453
133,266,418,381,451
134,268,422,377,450
135,270,425,379,452
136,272,422,384,451
137,274,420,381,450
138,276,423,383,452
139,278,419,378,448
140,280,419,383,448
141,282,420,380,450
142,284,420,379,448
143,286,423,379,449
144,288,420,379,451
145,290,421,377,447
146,292,420,375,447
147,294,423,379,451
148,296,421,376,451
149,298,422,378,448
150,300,424,375,450
151,302,418,378,449
152,304,421,373,453
153,306,419,379,449
154,308,419,378,448
155,310,421,376,451
156,312,419,383,446
157,314,421,378,450
158,316,420,380,449
159,318,418,381,450
160,320,420,379,450
161,322,417,379,451
162,324,418,378,449
163,326,418,378,452
164,328,416,381,448
165,330,420,377,449
166,332,415,372,453
167,334,419,377,444
168,336,415,381,448
169,338,422,381,450
170,340,417,379,451
171,342,418,379,450
172,344,415,381,448
173,346,416,377,448
174,348,418,374,448
175,350,417,379,448
176,352,421,379,449
177,354,422,382,448
178,356,422,382,448
179,358,422,379,452
180,360,418,380,451
181,362,419,379,449
182,364,420,380,448
183,366,419,379,449
184,368,420,383,449
185,370,422,381,448
186,372,421,379,449
187,374,421,379,453
188,376,416,379,450
189,378,419,380,451
190,380,418,375,454
191,382,422,384,453
192,384,422,379,450
193,386,416,379,452
194,388,420,379,448
195,390,414,380,451
196,392,419,378,456
197,394,419,383,454
198,396,422,380,454
199,398,416,383,451
200,400,420,378,454
201,402,418,380,452
202,404,425,381,451
203,406,420,379,452
204,408,423,381,451
205,410,423,383,450
206,412,424,381,450
207,414,422,382,452
208,416,423,381,451
209,418,420,382,452
210,420,419,381,451
211,422,421,379,452
212,424,421,379,451
213,426,422,381,452
214,428,423,384,452
215,430,419,382,452
216,432,421,380,449
217,434,420,381,453
218,436,423,378,452
219,438,422,382,452
220,440,421,381,451
221,442,421,383,454
222,444,424,382,450
223,446,421,386,451
224,448,422,379,453
225,450,422,384,453
226,452,425,385,450
227,454,421,378,455
228,456,418,380,448
229,458,419,379,452
230,460,422,379,451
231,462,421,380,444
232,464,422,386,451
233,466,420,381,447
234,468,422,380,449
235,470,423,377,451
236,472,423,377,452
237,474,421,382,449
238,476,424,382,449
239,478,421,378,449
240,480,422,380,450
241,482,420,382,447
242,484,421,379,448
243,486,421,378,447
244,488,423,380,449
245,490,417,379,449
246,492,420,377,449
247,494,416,378,448
248,496,420,375,445
249,498,417,379,449
250,500,423,384,450
251,502,420,382,445
252,504,420,377,448
253,506,420,380,444
254,508,418,376,450
255,510,420,379,446
256,512,422,380,447
257,514,417,385,448
258,516,419,380,452
259,518,416,377,450
260,520,420,378,450
261,522,421,379,448
262,524,420,379,449
263,526,416,379,446
264,528,421,380,450
265,530,421,379,449
266,532,419,380,448
267,534,418,381,450
268,536,418,377,448
269,538,418,379,445
270,540,414,378,449
271,542,421,379,451
272,544,419,379,450
273,546,420,376,448
274,548,421,377,450
275,550,420,383,450
276,552,417,380,451
277,554,420,380,446
278,556,419,379,449
279,558,419,379,451
280,560,418,377,451
281,562,421,377,449
282,564,418,378,452
283,566,417,378,448
284,568,421,382,451
285,570,417,382,454
286,572,420,379,453
287,574,420,378,447
288,576,421,382,456
289,578,419,378,452
290,580,419,377,450
291,582,421,380,449
292,584,416,383,448
293,586,420,383,451
294,588,420,381,447
295,590,424,381,448
296,592,421,381,450
297,594,418,380,450
298,596,416,384,454
299,598,417,382,454
300,600,419,382,450
301,602,423,380,451
302,604,419,379,449
303,606,421,379,451
304,608,417,380,452
305,610,421,376,450
306,612,422,380,452
307,614,421,380,453
308,616,420,381,453
309,618,421,383,450
310,620,422,384,450
311,622,421,378,454
312,624,421,381,452
313,626,423,381,451
314,628,420,384,453
315,630,420,385,451
316,632,421,382,452
317,634,419,384,454
318,636,420,380,455
319,638,422,382,451
320,640,423,381,452
321,642,423,380,454
322,644,423,381,447
323,646,422,381,450
324,648,419,382,452
325,650,420,384,450
326,652,421,381,452
327,654,418,382,452
328,656,420,383,447
329,658,423,381,443
330,660,423,379,450
331,662,421,380,448
332,664,425,376,452
333,666,419,385,448
334,668,419,380,451
335,670,424,381,447
336,672,419,380,450
337,674,422,381,452
338,676,422,379,451
339,678,422,381,447
340,680,420,380,448
341,682,422,381,447
342,684,420,382,450
343,686,420,380,448
344,688,423,381,450
345,690,423,379,446
346,692,419,376,448
347,694,421,384,446
348,696,419,381,445
349,698,418,380,448
350,700,419,379,450
351,702,420,380,450
352,704,419,384,447
353,706,418,384,450
354,708,422,380,449
355,710,416,375,449
356,712,421,380,446
357,714,419,378,450
358,716,421,376,451
359,718,418,380,451
360,720,421,377,448
361,722,419,375,448
362,724,419,376,449
363,726,420,380,443
364,728,417,374,448
365,730,415,381,450
366,732,420,378,448
367,734,418,381,451
368,736,416,380,447
369,738,420,377,450
370,740,418,381,448
371,742,417,377,447
372,744,421,376,451
373,746,419,377,446
374,748,417,381,447
375,750,418,379,448
376,752,418,376,449
377,754,418,379,449
378,756,422,381,452
379,758,419,381,448
380,760,419,382,451
381,762,416,378,448
382,764,420,379,454
383,766,417,378,454
384,768,417,383,452
385,770,420,378,450
386,772,415,380,453
387,774,416,378,450
388,776,419,382,454
389,778,415,376,451
390,780,419,380,453
391,782,420,382,452
392,784,419,381,449
393,786,422,381,452
394,788,419,383,451
395,790,423,383,448
396,792,420,378,453
397,794,423,380,455
398,796,419,380,452
399,798,421,380,450
400,800,421,380,448
401,802,420,381,451
402,804,420,382,450
403,806,421,385,453
404,808,419,378,450
405,810,419,381,453
406,812,420,381,450
407,814,421,385,451
408,816,421,381,451
409,818,421,382,451
410,820,418,383,450
411,822,421,381,451
412,824,423,381,449
413,826,421,383,451
414,828,421,381,450
415,830,417,379,454
416,832,422,380,453
417,834,423,382,450
418,836,421,379,452
419,838,420,387,452
420,840,418,380,451
421,842,419,377,451
422,844,418,383,452
423,846,424,382,451
424,848,420,378,451
425,850,417,382,450
426,852,421,380,450
427,854,417,382,446
428,856,421,380,453
429,858,419,381,449
430,860,421,378,452
431,862,420,379,452
432,864,419,380,447
433,866,421,378,448
434,868,423,381,451
435,870,425,381,454
436,872,422,384,448
437,874,422,379,449
438,876,419,383,448
439,878,424,381,450
440,880,421,380,450
441,882,418,375,449
442,884,418,379,447
443,886,421,381,448
444,888,421,377,450
445,890,425,381,449
446,892,415,380,446
447,894,421,378,448
448,896,419,377,452
449,898,419,380,447
450,900,421,376,446
451,902,416,379,448
452,904,422,378,450
453,906,422,379,447
454,908,421,380,448
455,910,420,381,449
456,912,422,379,449
457,914,418,382,448
458,916,418,376,448
459,918,416,375,448
460,920,421,379,450
461,922,415,375,449
462,924,420,377,450
463,926,422,379,449
464,928,423,379,449
465,930,417,376,449
466,932,416,383,449
467,934,422,376,446
468,936,418,379,453
469,938,418,378,450
470,940,420,379,449
471,942,418,376,450
472,944,419,380,450
473,946,422,380,449
474,948,415,378,448
475,950,418,381,451
476,952,413,381,448
477,954,420,382,450
478,956,417,376,445
479,958,418,380,448
480,960,419,379,450
481,962,421,383,450
482,964,419,381,450
483,966,420,384,449
484,968,419,382,451
485,970,419,378,451
486,972,421,378,451
487,974,415,377,449
488,976,418,379,448
489,978,422,381,450
490,980,419,379,450
491,982,421,381,450
492,984,417,378,453
493,986,422,381,452
494,988,419,380,451
495,990,420,380,454
496,992,423,382,445
497,994,418,383,450
498,996,420,379,448
499,998,419,380,453
500,1000,421,382,452
501,1002,419,385,450
502,1004,420,379,449
503,1006,421,380,452
504,1008,420,383,451
505,1010,420,381,453
506,1012,420,383,453
507,1014,421,384,450
508,1016,420,380,451
