window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us
0,8.192,50.05,0.24,0.24,0.016235,NORMAL,2811
1,8.704,50.05,0.24,0.24,0.017363,NORMAL,4217
2,9.216,50.05,0.24,0.24,0.019936,NORMAL,3591
3,9.728,50.05,0.24,0.24,0.022105,NORMAL,1954
4,10.24,0.24,0.24,0.24,0.022251,NORMAL,3492
5,10.752,0.24,0.24,0.24,0.019546,NORMAL,3498
6,11.264,0.24,0.24,0.24,0.016518,NORMAL,3290
7,11.776,0.24,0.24,0.24,0.015853,NORMAL,3556
8,12.288,0.24,0.24,0.24,0.018574,NORMAL,3558
9,12.8,0.24,0.24,0.24,0.018664,NORMAL,3176
10,13.312,0.24,0.24,0.24,0.015590,NORMAL,3451
11,13.824,0.24,0.24,0.24,0.017649,NORMAL,3547
12,14.336,0.24,0.24,0.24,0.049328,NORMAL,3500
13,14.848,0.24,0.24,0.24,0.109043,NORMAL,3909
14,15.36,0.24,0.24,0.24,0.172178,PRE_ALERT,2542
15,15.872,5.86,0.24,0.24,0.229870,PRE_ALERT,3410
16,16.384,6.84,0.24,0.24,0.266458,PRE_ALERT,3631
17,16.896,6.84,0.24,0.24,0.263657,PRE_ALERT,3293
18,17.408,6.84,0.24,0.24,0.267350,PRE_ALERT,3550
19,17.92,6.59,0.24,0.24,0.298802,PRE_ALERT,3807
20,18.432,6.35,0.24,0.49,0.350992,PRE_ALERT,3251
21,18.944,6.35,0.24,0.49,0.389079,PRE_ALERT,3517
22,19.456,6.35,0.24,0.49,0.402359,ALERT,3641
23,19.968,6.35,0.24,0.49,0.425288,ALERT,3103
24,20.48,6.35,0.24,0.49,0.462807,ALERT,3350
25,20.992,6.35,0.24,0.49,0.487976,ALERT,3636
26,21.504,6.35,0.24,0.24,0.487996,ALERT,4637
27,22.016,6.35,0.24,0.24,0.472914,ALERT,3597
28,22.528,6.35,0.24,0.24,0.466284,ALERT,3300
29,23.04,6.35,0.24,1.22,0.458133,ALERT,3305
30,23.552,6.35,0.24,0.24,0.394471,ALERT,4100
31,24.064,0.24,0.24,0.24,0.316517,ALERT,3833
32,24.576,0.24,0.24,0.24,0.281564,PRE_ALERT,1679
33,25.088,0.24,0.24,0.24,0.273014,PRE_ALERT,1505
34,25.6,0.24,0.24,0.24,0.258988,PRE_ALERT,3496
35,26.112,0.24,0.24,0.24,0.236642,PRE_ALERT,3405
36,26.624,0.24,0.24,0.24,0.222094,PRE_ALERT,4659
37,27.136,0.24,0.24,0.24,0.201116,PRE_ALERT,4399
38,27.648,0.24,0.24,0.24,0.154026,PRE_ALERT,3659
39,28.16,0.24,0.24,0.24,0.101349,NORMAL,3113
40,28.672,0.24,0.24,0.24,0.060395,NORMAL,3383
41,29.184,0.24,0.24,0.24,0.028040,NORMAL,1579
42,29.696,0.24,0.24,0.24,0.028646,NORMAL,3278
43,30.208,0.24,0.73,0.24,0.064337,NORMAL,3368
44,30.72,0.24,0.73,0.24,0.101047,NORMAL,3302
45,31.232,0.24,0.73,0.24,0.117461,NORMAL,3726
46,31.744,0.24,0.98,0.98,0.120631,NORMAL,3287
47,32.256,0.98,0.98,0.98,0.130566,NORMAL,3247
48,32.768,1.22,0.98,0.98,0.152048,PRE_ALERT,1865
49,33.28,0.24,0.98,0.98,0.178223,PRE_ALERT,3445
50,33.792,0.24,0.98,0.98,0.189190,PRE_ALERT,3515
51,34.304,0.24,0.24,0.98,0.192943,PRE_ALERT,3318
52,34.816,0.24,0.24,0.24,0.206275,PRE_ALERT,3163
53,35.328,0.24,0.24,0.24,0.209770,PRE_ALERT,3289
54,35.84,0.24,0.24,0.24,0.192360,PRE_ALERT,4498
55,36.352,0.24,0.24,0.24,0.182257,PRE_ALERT,3221
56,36.864,0.24,0.24,0.49,0.197058,PRE_ALERT,3448
57,37.376,0.24,0.24,0.24,0.216440,PRE_ALERT,1575
58,37.888,0.24,0.24,0.24,0.221269,PRE_ALERT,2917
59,38.4,0.24,0.24,0.24,0.233216,PRE_ALERT,3584
60,38.912,0.24,0.24,0.24,0.254067,PRE_ALERT,3293
61,39.424,0.24,0.24,0.24,0.277257,PRE_ALERT,4057
62,39.936,0.24,0.49,0.49,0.306327,PRE_ALERT,2468
63,40.448,0.24,0.49,0.49,0.326145,PRE_ALERT,3254
64,40.96,0.24,0.24,0.49,0.308686,ALERT,2427
65,41.472,0.24,0.24,0.24,0.304565,ALERT,3364
66,41.984,0.24,0.24,0.24,0.359583,ALERT,3450
67,42.496,0.24,0.24,6.84,0.439547,ALERT,3492
68,43.008,0.24,0.24,6.84,0.496144,ALERT,3511
69,43.52,0.24,0.24,6.84,0.504456,ALERT,2008
70,44.032,0.24,0.24,6.84,0.510329,ALERT,3520
71,44.544,0.24,0.24,6.84,0.469688,ALERT,2354
72,45.056,0.24,0.24,6.84,0.369957,ALERT,3294
73,45.568,0.24,0.24,0.24,0.281581,PRE_ALERT,3376
74,46.08,0.24,0.24,0.24,0.247611,PRE_ALERT,3373
75,46.592,0.24,0.24,0.24,0.254975,PRE_ALERT,4535
76,47.104,0.24,0.24,0.24,0.254225,PRE_ALERT,2666
77,47.616,0.24,0.24,0.24,0.213054,PRE_ALERT,3585
78,48.128,0.24,0.24,0.24,0.184379,PRE_ALERT,1869
79,48.64,0.24,0.24,0.24,0.186219,PRE_ALERT,3439
80,49.152,0.24,0.24,0.24,0.173114,PRE_ALERT,1617
81,49.664,0.24,0.24,0.24,0.124652,NORMAL,3378
82,50.176,0.24,0.24,0.24,0.094902,NORMAL,3474
83,50.688,0.24,0.24,0.24,0.105668,NORMAL,3581
84,51.2,0.24,0.24,0.24,0.143016,NORMAL,3633
85,51.712,0.24,0.24,0.24,0.166694,PRE_ALERT,1381
86,52.224,0.24,0.24,0.24,0.198216,PRE_ALERT,3282
87,52.736,0.24,0.24,0.24,0.195858,PRE_ALERT,4662
88,53.248,0.24,0.24,0.24,0.178266,PRE_ALERT,3282
89,53.76,0.24,0.24,0.24,0.162068,PRE_ALERT,2856
90,54.272,0.24,0.24,0.24,0.153220,PRE_ALERT,3697
91,54.784,0.24,0.24,0.24,0.133487,NORMAL,3500
92,55.296,0.24,0.24,0.24,0.119978,NORMAL,3174
93,55.808,0.24,0.24,0.24,0.123162,NORMAL,3164
94,56.32,0.24,0.24,0.24,0.145846,NORMAL,4074
95,56.832,0.24,0.24,0.24,0.178158,PRE_ALERT,3262
96,57.344,0.24,0.24,0.24,0.194940,PRE_ALERT,4271
97,57.856,5.37,0.24,0.24,0.197909,PRE_ALERT,3688
98,58.368,5.37,0.24,0.24,0.208907,PRE_ALERT,2884
99,58.88,5.37,0.24,0.24,0.228380,PRE_ALERT,3448
100,59.392,5.37,0.24,0.24,0.228280,PRE_ALERT,3371
101,59.904,5.37,0.24,0.24,0.220677,PRE_ALERT,3343
