window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us,e2e_ms
0,8.192,0.24,0.24,0.24,0.038159,NORMAL,1008,29.475
1,8.704,0.24,0.24,0.24,0.037014,NORMAL,1063,27.775
2,9.216,0.24,0.24,0.24,0.034677,NORMAL,879,27.474
3,9.728,0.24,0.24,0.24,0.034717,NORMAL,1044,32.937
4,10.24,0.24,0.24,0.24,0.035426,NORMAL,1026,34.618
5,10.752,0.24,0.24,0.24,0.033256,NORMAL,817,26.384
6,11.264,0.24,0.24,0.24,0.031066,NORMAL,926,31.1
7,11.776,0.24,0.24,0.24,0.032319,NORMAL,958,26.108
8,12.288,0.24,0.24,0.24,0.046684,NORMAL,909,34.825
9,12.8,0.24,0.24,0.24,0.080973,NORMAL,985,30.227
10,13.312,0.24,0.24,0.24,0.121732,NORMAL,891,27.449
11,13.824,0.24,0.24,0.24,0.137663,NORMAL,660,25.407
12,14.336,0.24,0.24,0.24,0.142046,NORMAL,908,24.913
13,14.848,0.24,0.24,0.24,0.153861,PRE_ALERT,860,401.63
14,15.36,0.24,0.24,0.24,0.168019,PRE_ALERT,992,44.664
15,15.872,0.24,0.24,0.24,0.168293,PRE_ALERT,965,27.367
16,16.384,0.24,0.24,0.24,0.184134,PRE_ALERT,947,76.437
17,16.896,0.24,0.24,0.24,0.230063,PRE_ALERT,843,36.353
18,17.408,0.73,0.24,0.49,0.286736,PRE_ALERT,941,27.327
19,17.92,0.73,0.49,0.49,0.317534,PRE_ALERT,984,27.867
20,18.432,6.1,0.49,0.24,0.326438,PRE_ALERT,1035,32.203
21,18.944,0.73,0.49,0.24,0.35815,ALERT,814,199.891
22,19.456,7.57,0.49,0.24,0.384595,ALERT,826,40.556
23,19.968,7.57,0.49,0.24,0.40402,ALERT,777,30.391
24,20.48,6.84,0.49,0.24,0.438281,ALERT,686,35.008
25,20.992,0.24,0.49,0.24,0.459569,ALERT,802,35.459
26,21.504,0.24,0.24,0.24,0.432826,ALERT,647,23.575
27,22.016,0.24,0.24,0.24,0.376088,ALERT,784,29.931
28,22.528,0.24,0.24,0.24,0.313787,ALERT,787,24.715
29,23.04,0.24,0.24,0.24,0.278167,PRE_ALERT,775,183.891
30,23.552,0.24,0.24,0.24,0.269874,PRE_ALERT,767,24.658
31,24.064,0.24,0.24,0.24,0.270014,PRE_ALERT,609,24.439
32,24.576,0.24,0.24,0.24,0.270865,PRE_ALERT,1103,27.575
33,25.088,0.24,0.24,0.24,0.283067,PRE_ALERT,828,54.767
34,25.6,0.24,0.24,0.24,0.280299,PRE_ALERT,1025,27.342
35,26.112,0.24,0.24,0.24,0.239529,PRE_ALERT,692,27.368
36,26.624,0.24,0.24,0.24,0.17831,PRE_ALERT,711,30.144
37,27.136,0.24,0.24,0.24,0.121851,NORMAL,820,399.688
38,27.648,0.24,0.24,0.24,0.067692,NORMAL,813,25.62
39,28.16,0.24,0.24,0.24,0.010412,NORMAL,768,26.227
40,28.672,0.24,0.24,0.24,0.009495,NORMAL,901,30.515
41,29.184,0.24,0.24,0.24,0.046426,NORMAL,726,25.855
42,29.696,0.24,0.24,0.24,0.089967,NORMAL,904,47.08
43,30.208,0.24,0.24,0.49,0.1144,NORMAL,637,41.321
44,30.72,0.24,0.24,0.49,0.137693,NORMAL,814,27.921
45,31.232,0.24,0.24,0.49,0.159484,PRE_ALERT,862,400.231
46,31.744,0.24,0.24,0.49,0.167941,PRE_ALERT,595,35.049
47,32.256,0.24,0.24,0.49,0.177589,PRE_ALERT,937,29.022
48,32.768,0.24,0.24,0.49,0.199355,PRE_ALERT,710,32.743
49,33.28,0.24,0.24,0.49,0.21674,PRE_ALERT,767,31.166
50,33.792,0.24,0.24,0.49,0.213137,PRE_ALERT,642,25.449
51,34.304,0.24,0.24,0.49,0.210928,PRE_ALERT,657,35.968
52,34.816,0.24,0.24,0.49,0.231023,PRE_ALERT,1014,33.869
53,35.328,0.24,0.24,0.49,0.248981,PRE_ALERT,779,25.341
54,35.84,0.24,0.24,0.49,0.251967,PRE_ALERT,1173,30.675
55,36.352,0.24,0.24,1.22,0.242978,PRE_ALERT,699,42.928
56,36.864,0.24,0.24,0.24,0.228108,PRE_ALERT,795,39.118
57,37.376,0.24,0.24,0.24,0.213698,PRE_ALERT,820,32.545
58,37.888,0.24,0.24,0.24,0.179097,PRE_ALERT,923,35.194
59,38.4,0.24,0.24,0.49,0.135234,NORMAL,735,184.238
60,38.912,0.24,0.24,0.24,0.10179,NORMAL,980,32.294
61,39.424,0.24,0.24,0.24,0.07687,NORMAL,977,32.75
62,39.936,0.24,0.24,0.24,0.06557,NORMAL,929,32.802
63,40.448,0.24,0.24,0.24,0.061682,NORMAL,794,37.543
